"","Gene Set","P Value  0","P Value  1","P Value  2","P Value  3","P Value  4","P Value  5","P Value  6","P Value  7","P Value  8","P Value  9","P Value  10","P Value  11","P Value  12","P Value  13","P Value  14","P Value  15","P Value  16","P Value  17","Fold Change  0","Fold Change  1","Fold Change  2","Fold Change  3","Fold Change  4","Fold Change  5","Fold Change  6","Fold Change  7","Fold Change  8","Fold Change  9","Fold Change  10","Fold Change  11","Fold Change  12","Fold Change  13","Fold Change  14","Fold Change  15","Fold Change  16","Fold Change  17"
"Ovary_dm_33159074_Rust","0 MB 2-5","4.18e-7","-","7.56e-4","1.61e-1","8.12e-5","1.61e-1","3.88e-8","-","-","-","-","5.73e-7","-","-","-","-","1.61e-1","-","11.6108","-","6.9665","2.7866","8.3598","2.7866","12.5397","-","-","-","-","11.1464","-","-","-","-","2.7866","-"
"Ovary_dm_33159074_Rust","1 ant./cent. MB 5-6","3.87e-4","-","2.68e-2","-","3.98e-3","-","4.67e-4","-","-","-","3.98e-3","3.98e-3","-","2.68e-2","-","-","4.49e-5","-","8.0631","-","4.6443","-","6.1924","-","7.7406","-","-","-","6.1924","6.1924","-","4.6443","-","-","9.2887","-"
"Ovary_dm_FCAvs2_10x","16-cell germline cyst in germarium region 2a and 2b","-","-","2.55e-13","-","1.61e-1","1.00e-25","3.51e-2","-","-","-","-","-","-","-","-","-","-","-","-","-","18.1129","-","2.7866","54.3387","4.1799","-","-","-","-","-","-","-","-","-","-","-"
"Ovary_dm_33159074_Rust","2.0 cent. MB 6-7","-","-","-","-","-","-","-","-","-","-","1.22e-6","-","-","-","-","-","9.25e-4","-","-","-","-","-","-","-","-","-","-","-","25.8019","-","-","-","-","-","15.4811","-"
"Ovary_dm_33159074_Rust","2.1.0 border cell","6.46e-5","-","-","1.61e-1","5.78e-3","-","-","-","-","1.61e-1","2.55e-13","-","3.51e-2","3.51e-2","1.61e-1","3.51e-2","3.58e-16","-","8.7081","-","-","2.7866","5.5732","-","-","-","-","2.7866","18.1129","-","4.1799","4.1799","2.7866","4.1799","20.8995","-"
"Ovary_dm_33159074_Rust","2.1.0 stretch cell 6-7","8.86e-8","-","-","-","-","-","-","-","-","3.03e-4","1.36e-11","1.17e-1","1.17e-1","2.11e-2","2.11e-2","1.17e-1","1.36e-11","1.17e-1","14.1596","-","-","-","-","-","-","-","-","8.4957","18.6906","3.3983","3.3983","5.0974","5.0974","3.3983","18.6906","3.3983"
"Ovary_dm_33159074_Rust","2.1.1 stretch cell 8+","3.17e-2","5.78e-3","-","-","-","-","-","1.61e-1","1.61e-1","7.56e-4","2.32e-9","1.61e-1","-","5.78e-3","3.51e-2","-","1.00e-25","8.12e-5","4.3541","5.5732","-","-","-","-","-","2.7866","2.7866","6.9665","13.933","2.7866","-","5.5732","4.1799","-","30.6526","8.3598"
"Ovary_dm_33159074_Rust","2.2.0 cent. MB 8","-","1.61e-1","-","-","-","-","-","-","1.61e-1","-","2.55e-13","-","-","3.51e-2","1.61e-1","3.51e-2","5.73e-7","-","-","2.7866","-","-","-","-","-","-","2.7866","-","18.1129","-","-","4.1799","2.7866","4.1799","11.1464","-"
"Ovary_dm_33159074_Rust","2.2.1 MB 9+","1.51e-1","7.56e-4","-","-","-","-","-","1.61e-1","5.78e-3","3.51e-2","5.73e-7","-","-","5.73e-7","1.61e-1","1.61e-1","7.36e-6","-","2.9027","6.9665","-","-","-","-","-","2.7866","5.5732","4.1799","11.1464","-","-","11.1464","2.7866","2.7866","9.7531","-"
"Ovary_dm_33159074_Rust","2.2.2 hemocyte","3.17e-2","5.78e-3","-","3.51e-2","1.61e-1","-","-","1.61e-1","1.61e-1","7.56e-4","-","-","-","7.36e-6","7.56e-4","-","7.56e-4","5.78e-3","4.3541","5.5732","-","4.1799","2.7866","-","-","2.7866","2.7866","6.9665","-","-","-","9.7531","6.9665","-","6.9665","5.5732"
"Ovary_dm_33159074_Rust","2.2.3 post. MB 8","-","-","-","-","-","-","-","-","-","-","2.32e-9","-","-","-","-","3.51e-2","7.56e-4","-","-","-","-","-","-","-","-","-","-","-","13.933","-","-","-","-","4.1799","6.9665","-"
"Ovary_dm_33159074_Rust","2.3.0 post. MB 5-6","4.98e-18","7.22e-4","1.58e-1","1.58e-1","6.88e-6","-","1.58e-1","-","7.22e-4","7.22e-4","3.06e-16","-","1.58e-1","5.58e-3","7.22e-4","5.58e-3","6.88e-6","3.42e-2","23.4562","7.0369","2.8147","2.8147","9.8516","-","2.8147","-","7.0369","7.0369","21.1106","-","2.8147","5.6295","7.0369","5.6295","9.8516","4.2221"
"Ovary_dm_33159074_Rust","2.3.1 post. MB 7","1.96e-13","-","-","6.70e-2","6.34e-5","-","-","-","8.72e-3","-","7.14e-20","-","6.70e-2","-","6.70e-2","8.40e-4","6.70e-2","6.70e-2","27.0591","-","-","4.7231","11.8076","-","-","-","7.0846","-","35.4229","-","4.7231","-","4.7231","9.4461","4.7231","4.7231"
"Ovary_dm_33159074_Rust","3.0.0 late pFC","1.89e-16","-","3.51e-2","5.78e-3","3.53e-19","1.61e-1","8.12e-5","-","-","-","7.56e-4","5.78e-3","-","5.78e-3","5.78e-3","-","1.61e-1","7.56e-4","21.7703","-","4.1799","5.5732","23.6861","2.7866","8.3598","-","-","-","6.9665","5.5732","-","5.5732","5.5732","-","2.7866","6.9665"
"Ovary_dm_33159074_Rust","3.0.1 early pFC","5.55e-15","1.61e-1","3.51e-2","7.56e-4","2.52e-22","3.51e-2","7.56e-4","1.61e-1","-","-","5.78e-3","3.51e-2","-","3.51e-2","-","-","5.78e-3","7.56e-4","20.319","2.7866","4.1799","6.9665","26.4727","4.1799","6.9665","2.7866","-","-","5.5732","4.1799","-","4.1799","-","-","5.5732","6.9665"
"Ovary_dm_33159074_Rust","3.0.1 FSC","3.60e-12","-","-","7.36e-6","1.00e-25","1.61e-1","1.61e-1","3.51e-2","1.61e-1","1.61e-1","5.78e-3","-","3.51e-2","3.51e-2","1.61e-1","-","5.73e-7","8.12e-5","17.4163","-","-","9.7531","30.6526","2.7866","2.7866","4.1799","2.7866","2.7866","5.5732","-","4.1799","4.1799","2.7866","-","11.1464","8.3598"
"Ovary_dm_33159074_Rust","3.1.0 post. EC","7.90e-11","1.61e-1","1.61e-1","7.36e-6","2.52e-22","1.61e-1","1.61e-1","5.78e-3","-","7.56e-4","3.51e-2","-","3.51e-2","5.78e-3","1.61e-1","-","8.12e-5","5.78e-3","15.9649","2.7866","2.7866","9.7531","26.4727","2.7866","2.7866","5.5732","-","6.9665","4.1799","-","4.1799","5.5732","2.7866","-","8.3598","5.5732"
"Ovary_dm_33159074_Rust","3.1.1 cent. EC","5.61e-6","-","1.61e-1","5.78e-3","2.55e-13","-","-","1.61e-1","1.61e-1","8.12e-5","5.78e-3","1.61e-1","-","5.78e-3","-","-","8.12e-5","8.12e-5","10.1595","-","2.7866","5.5732","18.1129","-","-","2.7866","2.7866","8.3598","5.5732","2.7866","-","5.5732","-","-","8.3598","8.3598"
"Ovary_dm_33159074_Rust","3.1.2.0 ant. EC","6.46e-5","-","1.61e-1","3.51e-2","1.17e-17","-","-","1.61e-1","-","7.56e-4","5.78e-3","1.61e-1","-","5.78e-3","-","-","7.36e-6","5.78e-3","8.7081","-","2.7866","4.1799","22.2928","-","-","2.7866","-","6.9665","5.5732","2.7866","-","5.5732","-","-","9.7531","5.5732"
"Ovary_dm_33159074_Rust","3.1.2.1 cap cell","5.61e-6","3.51e-2","-","-","3.58e-16","-","-","1.61e-1","-","7.36e-6","-","-","1.61e-1","7.36e-6","5.78e-3","-","1.61e-1","5.78e-3","10.1595","4.1799","-","-","20.8995","-","-","2.7866","-","9.7531","-","-","2.7866","9.7531","5.5732","-","2.7866","5.5732"
"Ovary_dm_33159074_Rust","3.1.2.1 TF","6.28e-4","5.78e-3","-","3.51e-2","2.55e-13","-","-","5.78e-3","1.61e-1","7.56e-4","5.78e-3","-","1.61e-1","3.88e-8","7.56e-4","-","5.78e-3","2.32e-9","7.2568","5.5732","-","4.1799","18.1129","-","-","5.5732","2.7866","6.9665","5.5732","-","2.7866","12.5397","6.9665","-","5.5732","13.933"
"Ovary_dm_33159074_Rust","3.2.0 stalk cell","1.48e-13","-","1.61e-1","8.12e-5","1.00e-25","1.61e-1","1.61e-1","-","1.61e-1","5.78e-3","7.36e-6","-","5.78e-3","8.12e-5","7.56e-4","-","7.56e-4","3.88e-8","18.8676","-","2.7866","8.3598","32.0459","2.7866","2.7866","-","2.7866","5.5732","9.7531","-","5.5732","8.3598","6.9665","-","6.9665","12.5397"
"Ovary_dm_33159074_Rust","3.2.1 polar cell","5.55e-15","-","-","3.51e-2","2.52e-22","-","1.61e-1","1.61e-1","-","7.56e-4","5.73e-7","-","1.61e-1","7.36e-6","1.61e-1","8.12e-5","7.56e-4","7.56e-4","20.319","-","-","4.1799","26.4727","-","2.7866","2.7866","-","6.9665","11.1464","-","2.7866","9.7531","2.7866","8.3598","6.9665","6.9665"
"Ovary_dm_33159074_Rust","4.0 GSC","-","-","3.51e-2","-","-","8.12e-5","5.78e-3","-","-","-","-","-","-","-","-","-","-","-","-","-","4.1799","-","-","8.3598","5.5732","-","-","-","-","-","-","-","-","-","-","-"
"Ovary_dm_33159074_Rust","4.0 undif. germ cel","-","-","3.51e-2","-","-","8.12e-5","5.78e-3","-","-","-","-","7.56e-4","-","-","-","-","-","-","-","-","4.1799","-","-","8.3598","5.5732","-","-","-","-","6.9665","-","-","-","-","-","-"
"Ovary_dm_33159074_Rust","4.1 older germ cell","-","-","2.32e-9","-","-","5.73e-7","1.23e-10","-","-","-","-","5.73e-7","-","-","-","-","1.61e-1","-","-","-","13.933","-","-","11.1464","15.3263","-","-","-","-","11.1464","-","-","-","-","2.7866","-"
"Ovary_dm_33159074_Rust","5 muscle cell","1.51e-1","-","-","-","7.56e-4","1.61e-1","-","2.52e-22","3.51e-2","3.88e-8","3.51e-2","-","-","5.73e-7","5.73e-7","3.51e-2","-","1.23e-10","2.9027","-","-","-","6.9665","2.7866","-","26.4727","4.1799","12.5397","4.1799","-","-","11.1464","11.1464","4.1799","-","15.3263"
