0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ct,Sod3,dhd,mam,robo2,kirre,dhd,abd-A,Pgant9,lncRNA:CR42862,spri,Cyp1,CG32645,dhd,DOR,Atg8a,ImpL2,Fas1
fru,Src42A,RpL10,Cp38,msi,Myo81F,RpL10,Ptp10D,CG13083,mgl,CG42747,dhd,Tmhs,RpL10,Muc12Ea,Pvf1,luna,luna
ed,sim,lncRNA:CR34335,Cp36,fru,AGO3,lncRNA:CR34335,mgl,CG43340,Nrg,CG31145,Df31,CG11381,Cyp1,Octbeta2R,Paip2,Eip75B,Fas3
CadN,Pgant9,Cyp1,CG13737,Rbfox1,lncRNA:CR44357,Cyp1,CG9336,CG13084,CG32137,CG5326,RpL10,CG14834,lncRNA:CR34335,Tusp,Men,spri,Zasp52
tutl,Pdp1,RpL39,Snoo,Kank,lncRNA:CR44833,RpL38,retn,nuf,plx,Msp300,me31B,btsz,RpL38,Men,Oamb,rols,Cip4
eya,nuf,lncRNA:CR43836,RhoGEF64C,fng,RpL10,RpL39,Ncc69,Femcoat,Lac,rols,fabp,Lmpt,Df31,CG9864,DOR,Sam-S,RhoGAP18B
Kank,Sarm,kirre,Tmhs,sick,bru1,me31B,Picot,ed,Atg8a,lncRNA:CR43314,CycB,jbug,CycB,nahoda,CG9864,CG6040,Inx3
Pdp1,Nox,lncRNA:CR44833,Lmpt,fz2,SKIP,Df31,Fur1,Cp38,Ilp8,Pdp1,smt3,Amph,tral,CG10939,CG32137,CG42238,wb
CG43759,CG32137,RpL38,CG4009,NK7.1,CG3655,fabp,Treh,CG33298,MESR3,CrebA,RpL39,Cad74A,me31B,Oamb,lncRNA:CR42862,Dg,SP1173
mld,CG12177,ovo,srp,cpo,CG9650,tral,CG43134,srp,Paip2,CG8303,Nlp,Cp7Fc,RpL39,sim,prage,CG17124,Nrg
rgn,CG32091,fabp,GEFmeso,CG46339,dhd,Pen,CLIP-190,ush,CG34417,peb,CG11267,CG43340,Pen,CG32137,Plc21C,InR,Eip93F
Fas3,CG32642,CG9650,puc,Fas3,lncRNA:CR34335,CG11267,CG5151,Oatp74D,atilla,Sam-S,Fkbp12,CG13299,bru1,Atg8a,CG15721,CG7512,CG3655
rols,CG3168,Df31,if,Octalpha2R,Cyp1,CycB,Pdp1,Cp7Fa,Octbeta2R,Tsp74F,lncRNA:CR34335,Cp36,grp,Sod3,CG5958,CG17839,CG12065
msi,Dmtn,me31B,CG43340,ptc,lncRNA:CR43836,COX4,sick,lncRNA:CR45156,Pvf1,Ccdc85,RNASEK,Pgant9,fabp,CG31928,nahoda,eya,mgl
Snoo,CG43340,CG15312,btsz,ct,SK,Fkbp12,norpA,yin,sim,CG6040,hoip,siz,pgc,Plc21C,plx,peb,CG30460
Pli,Mkp3,CG43902,RhoGAP18B,Socs36E,lncRNA:CR32773,bru1,CG10939,CG43134,CG10939,bond,wisp,mgl,Myo81F,rut,atilla,lncRNA:CR43314,fog
stl,Cad87A,lncRNA:CR44357,Ptp10D,sfl,Df31,AGO3,vir-1,Cp36,Gadd45,Mob2,gnu,Spn,Fkbp12,Tret1-1,rut,beat-IIIc,Ziz
Mipp1,Fur2,wisp,raskol,CG5004,CG33181,smt3,Eip93F,CG12075,luna,Swim,roh,CG2556,smg,Oatp74D,CG12991,cv-2,CG5151
CG13252,CG10939,rst,sick,Eip93F,rdgA,Jabba,CG10433,CG15571,CG9336,CG31869,BigH1,puc,ATPsynbeta,CG43134,Fim,AdamTS-A,capu
btsz,CG42327,CycB,CG33298,CG43658,lncRNA:CR46148,hoip,Sarm,CG30456,CG12991,Tmhs,stg,CG4009,DIP-lambda,luna,MESR3,CG42524,Msp300
Sobp,Liprin-gamma,CG33181,CG46385,CG42747,smt3,nAChRalpha4,dpy,Dyrk2,rut,lncRNA:CR33963,cype,CG33298,alphaTub67C,smash,Nrg,cpo,ATP8A
CG42238,Cp16,lncRNA:CR32773,CG43333,CG45263,DIP-lambda,Marf1,Octbeta2R,Src42A,CG9864,osp,Jabba,CG13377,gnu,CG10960,kay,CG43658,stumps
fz2,DOR,yl,Cad87A,mam,Rbfox1,stg,Alp4,CG13377,LRR,ELOVL,tral,bol,ovo,Treh,CG32816,rgn,AnxB9
Cp36,Atf3,CG15309,mino,Tet,stai,ATPsynbeta,sim,Sarm,Fur1,Eip75B,alphaTub67C,CG31121,CycA,Reg-5,sim,Hr4,ena
Octalpha2R,RhoU,bi,CG32645,Pura,CG32816,alphaTub67C,osp,CG3168,CG2841,CG42524,ATPsynD,if,CG10254,Cat,CG3726,mgl,CG11155
Swim,nahoda,lncRNA:CR32730,Nost,Mob2,RpL39,Nlp,Msp300,Ptp10D,CG43340,InR,Pen,yrt,BigH1,CG5004,CG1698,GlcAT-P,Doa
Socs36E,prage,mahe,numb,CG34347,ovo,BigH1,MYPT-75D,chas,CG9328,MYPT-75D,CycA,Nost,yl,slif,Acsl,CG13377,Argk
Rbfox1,lncRNA:CR42862,rdgA,Cad74A,ths,Marf1,ATPsynG,Drip,CG32091,sky,CG10283,pgc,Dyb,smt3,Nrg,Sod3,Shrm,Mmp2
Sam-S,CG6966,otu,Muc4B,Snoo,Pde9,ND-MLRQ,CG13299,sim,DOR,Mur2B,COX7A,CG7888,rin,Nha1,slow,osp,ush
sick,hebe,tral,jbug,pk,Spn,ATPsynE,Spn27A,CG15570,sog,mld,bru1,dec-1,Nlp,Pkc53E,CG31145,RhoGEF64C,Octbeta2R
CG34347,CG8399,asRNA:CR44894,ush,Sarm,Pzl,smg,pio,Nost,GstT4,Pvr,smg,lncRNA:CR45668,CG11267,CG43066,CG32642,klu,Trim9
raskol,Oamb,Ork1,bru2,bbg,tral,stai,Pkc53E,CG42238,nahoda,mirr,RpL38,Obp19c,NaPi-III,CG43340,CG10939,CG6891,fax
Cp19,blot,lncRNA:CR45082,red,Rbp6,asRNA:CR45481,yl,hoe1,MESR3,kay,Shrm,COX4,CG12075,jigr1,Bx,lncRNA:CR46006,CG14073,Sema1b
CG42663,Epac,CBP,msi,stl,lncRNA:CR45667,ATPsynD,atilla,tok,Oatp74D,AdamTS-A,VhaM9.7-b,Cp38,stai,MESR3,CG43340,CG43759,InR
ab,Plc21C,lncRNA:CR44779,Swip-1,CG13506,CG17684,jigr1,Qsox1,CG9628,Pka-C3,CG34347,ND-ACP,CG18622,del,CG18507,Fas3,Cln3,MESR3
klu,slgA,Fkbp12,CG10163,Spn,zfh1,ND-ACP,Abd-B,CG9815,Fas3,Cad99C,UQCR-11,Exn,wisp,nuf,CG43134,CG32982,abd-A
nord,lama,cac,Eip93F,lncRNA:CR42862,jigr1,cype,ckd,Ctr1A,Irc,gukh,ATPsynG,CG44774,CG15312,fok,CG31038,CG31869,LRR
Eip93F,RhoGAP92B,CG11267,Evi5,mirr,InR,Neb-cGP,RpL10,lncRNA:CR46258,dpr8,CG17816,CG14545,Cp7Fb,hoip,lncRNA:CR43459,Mco1,CG11378,CG15347
Tet,CG5004,asRNA:CR45481,CG1077,CadN,bi,roh,CG14196,ec,Fim,eIF4G1,CG32267,ck,lok,CG12177,CG9171,dpp,CG6891
Nhe2,ed,Nlp,Cp7Fc,fax,chinmo,RNASEK,CG11892,CG1358,Nha1,betaTub60D,yl,Gale,Jabba,CG30069,Src42A,Timp,loco
Eip75B,FER,CG32521,CG42673,CG42663,CG15312,ovo,lncRNA:CR34335,CenB1A,Ugt301D1,CG30089,Tom20,rdgA,CG2201,CG12991,CG5445,CG12290,jp
ena,cindr,BigH1,CG43102,Timp,lncRNA:CR45666,DIP-lambda,CG11155,alpha-Est9,Nox,lute,CG11674,Ir7c,AGO3,Acsl,mgl,Inx3,Lac
Tmhs,Pdk1,Pen,Sur,Eip75B,Drep2,Myo81F,CG30460,C1GalTA,Oamb,CG42238,stai,mrj,CG11076,Pvf1,CG12065,lncRNA:CR46006,CG42346
dsx,Fur1,bru1,how,Lmpt,ds,exu,CAH1,Sirup,puc,Cad86C,mRpL12,Cad87A,Marf1,bru2,Pkc53E,CenG1A,ham
asRNA:CR45185,CG32816,fend,Exn,Wnt4,CG40006,CycA,Pkcdelta,CG31121,Men,GlcAT-P,swa,how,E23,Ncc69,Bx,Sema5c,NK7.1
lncRNA:CR33963,Fas3,zld,CG11050,wb,CG43867,UQCR-11,Cyp1,CG13113,pdgy,lncRNA:CR43264,Neb-cGP,CG15221,Drep2,Src42A,Dip-B,nrv2,CG16700
ko,sgl,pgc,Inx3,Nrt,retn,Pomp,dhd,CG8312,CG13299,wdp,Tim8,CG43394,orb,Tie,LRR,stv,Sarm
Cp38,CG42788,Sep4,CG44774,CG42788,rst,gnu,Vmat,CG11050,fok,stl,retn,Ptpmeg2,stg,Nox,CG6051,CG30089,Itgbn
bbg,GlcAT-P,ATPsynG,CG15570,otk,CG43658,wisp,KCNQ,Cp7Fb,Pde8,CG46385,COX7C,red,CG44838,slgA,slgA,Tsp74F,sim
sfl,GEFmeso,CG43689,CG31886,Ten-a,cac,pgc,Spn88Ea,RhoGEF64C,Cip4,ana,ATPsynE,C1GalTA,Cadps,Ilp8,Cat,CrebA,Mical
